prefecture,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Hokkaido,2020/02/15,-1,5,-1,-2,4,1
Hokkaido,2020/02/16,-8,-3,-14,-5,0,2
Hokkaido,2020/02/17,-9,-4,-13,0,-2,2
Hokkaido,2020/02/18,-3,2,-9,-1,-1,1
Hokkaido,2020/02/19,-3,-3,-7,-3,-1,1
Hokkaido,2020/02/20,0,11,-7,0,1,1
Hokkaido,2020/02/21,-3,3,-7,-2,0,1
Hokkaido,2020/02/22,-6,5,-13,-7,-1,2
Hokkaido,2020/02/23,-17,-9,-29,-14,-4,3
Hokkaido,2020/02/24,7,3,-7,-28,-52,13
Hokkaido,2020/02/25,-4,12,-13,-3,0,1
Hokkaido,2020/02/26,-5,6,-8,-8,0,2
Hokkaido,2020/02/27,-9,8,-13,-11,-1,3
Hokkaido,2020/02/28,-12,13,-21,-18,-2,4
Hokkaido,2020/02/29,-29,5,-32,-37,-2,7
Hokkaido,2020/03/01,-38,-6,-45,-44,-10,8
Hokkaido,2020/03/02,-18,0,-24,-25,-5,5
Hokkaido,2020/03/03,-16,4,-26,-28,-6,6
Hokkaido,2020/03/04,-17,-1,-21,-28,-7,6
Hokkaido,2020/03/05,-30,-12,-38,-31,-8,8
Hokkaido,2020/03/06,-23,-5,-31,-30,-8,7
Hokkaido,2020/03/07,-22,0,-25,-37,-5,7
Hokkaido,2020/03/08,-23,-5,-32,-39,-8,6
Hokkaido,2020/03/09,-14,-4,-19,-26,-5,5
Hokkaido,2020/03/10,-17,2,-32,-28,-6,6
Hokkaido,2020/03/11,-15,-6,-29,-29,-6,6
Hokkaido,2020/03/12,-12,3,-21,-26,-5,5
Hokkaido,2020/03/13,-14,-2,-30,-29,-6,6
Hokkaido,2020/03/14,-14,1,-25,-34,-7,6
Hokkaido,2020/03/15,-17,0,-24,-35,-7,5
Hokkaido,2020/03/16,-13,-4,-22,-25,-5,4
Hokkaido,2020/03/17,-11,1,-21,-26,-6,5
Hokkaido,2020/03/18,-9,-1,-11,-23,-5,4
Hokkaido,2020/03/19,-1,6,-15,-19,-5,3
Hokkaido,2020/03/20,-2,4,-31,-46,-52,17
Hokkaido,2020/03/21,-11,0,-12,-28,-8,5
Hokkaido,2020/03/22,-12,-2,-8,-25,-7,3
Hokkaido,2020/03/23,-8,-5,-19,-23,-6,4
Hokkaido,2020/03/24,-8,-1,-21,-23,-5,4
Hokkaido,2020/03/25,0,6,-8,-20,-5,3
Hokkaido,2020/03/26,-3,5,-7,-20,-5,4
Hokkaido,2020/03/27,-7,1,-18,-24,-6,5
Hokkaido,2020/03/28,-8,3,-16,-29,-5,5
Hokkaido,2020/03/29,-7,3,-2,-27,-5,3
Hokkaido,2020/03/30,-1,2,1,-22,-6,3
Hokkaido,2020/03/31,-4,3,1,-20,-6,4
Hokkaido,2020/04/01,-7,7,3,-22,-7,4
Hokkaido,2020/04/02,-12,-1,-13,-25,-8,6
Hokkaido,2020/04/03,-10,2,5,-25,-8,5
Hokkaido,2020/04/04,-12,5,1,-31,-6,6
Hokkaido,2020/04/05,-14,2,-16,-36,-11,5
Hokkaido,2020/04/06,-11,-2,-12,-23,-9,5
Hokkaido,2020/04/07,-11,4,-9,-25,-9,5
Hokkaido,2020/04/08,-11,-1,4,-24,-8,5
Hokkaido,2020/04/09,-19,-3,-20,-26,-8,6
Hokkaido,2020/04/10,-16,8,-13,-27,-7,5
Hokkaido,2020/04/11,-17,3,-8,-39,-12,7
Hokkaido,2020/04/12,-18,2,12,-37,-12,5
Hokkaido,2020/04/13,-16,-2,7,-26,-7,4
Hokkaido,2020/04/14,-17,-1,3,-31,-9,6
Hokkaido,2020/04/15,-14,6,0,-31,-9,6
Hokkaido,2020/04/16,-17,4,-2,-32,-10,6
Hokkaido,2020/04/17,-20,6,12,-34,-10,6
Hokkaido,2020/04/18,-32,-1,-3,-45,-12,9
Hokkaido,2020/04/19,-32,-3,22,-45,-18,7
Hokkaido,2020/04/20,-29,-2,-21,-39,-14,8
Hokkaido,2020/04/21,-28,0,-12,-41,-17,9
Hokkaido,2020/04/22,-29,-5,-8,-43,-18,10
Hokkaido,2020/04/23,-32,-3,-16,-43,-18,11
Hokkaido,2020/04/24,-29,4,-4,-43,-18,10
Hokkaido,2020/04/25,-37,-1,-16,-51,-21,11
Hokkaido,2020/04/26,-41,-10,-35,-57,-26,10
Hokkaido,2020/04/27,-27,-1,-7,-43,-20,10
Hokkaido,2020/04/28,-24,3,3,-42,-21,9
Hokkaido,2020/04/29,-29,-10,-18,-64,-61,19
Hokkaido,2020/04/30,-23,7,22,-42,-24,11
Hokkaido,2020/05/01,-30,5,5,-48,-27,13
Hokkaido,2020/05/02,-39,-4,10,-52,-26,12
Hokkaido,2020/05/03,-39,-7,30,-49,-27,8
Hokkaido,2020/05/04,-25,-7,9,-64,-69,23
Hokkaido,2020/05/05,-19,3,17,-62,-69,23
Hokkaido,2020/05/06,-34,-15,-25,-67,-67,24
Hokkaido,2020/05/07,-28,1,8,-42,-18,10
Hokkaido,2020/05/08,-30,1,23,-43,-19,10
Hokkaido,2020/05/09,-32,-1,25,-48,-17,9
Hyogo,2020/02/15,-2,3,2,-3,2,0
Hyogo,2020/02/16,-11,-9,-48,-13,-2,3
Hyogo,2020/02/17,-2,1,-5,-1,1,1
Hyogo,2020/02/18,-2,3,3,-3,0,1
Hyogo,2020/02/19,0,1,8,-3,0,0
Hyogo,2020/02/20,2,4,5,-1,0,0
Hyogo,2020/02/21,-1,1,9,1,1,1
Hyogo,2020/02/22,-8,-4,-25,-7,-3,2
Hyogo,2020/02/23,3,5,19,4,0,-1
Hyogo,2020/02/24,23,5,64,-22,-56,14
Hyogo,2020/02/25,-1,5,3,-1,1,0
Hyogo,2020/02/26,-2,2,1,-3,1,1
Hyogo,2020/02/27,-2,5,-4,-5,1,1
Hyogo,2020/02/28,0,13,-2,-9,1,2
Hyogo,2020/02/29,-10,5,-37,-25,1,4
Hyogo,2020/03/01,-6,14,-9,-24,2,3
Hyogo,2020/03/02,-6,8,6,-12,2,2
Hyogo,2020/03/03,-3,10,14,-16,-2,3
Hyogo,2020/03/04,-15,-6,-32,-20,-4,5
Hyogo,2020/03/05,-6,6,-6,-18,-3,4
Hyogo,2020/03/06,-8,4,9,-18,-3,4
Hyogo,2020/03/07,-11,3,2,-28,-5,5
Hyogo,2020/03/08,-15,-1,-40,-34,-6,6
Hyogo,2020/03/09,-6,3,22,-14,-1,3
Hyogo,2020/03/10,-11,-2,-25,-20,-6,5
Hyogo,2020/03/11,-5,4,11,-16,-4,4
Hyogo,2020/03/12,-3,6,20,-16,-4,3
Hyogo,2020/03/13,-6,4,15,-17,-3,4
Hyogo,2020/03/14,-13,-3,-41,-31,-7,7
Hyogo,2020/03/15,-8,6,-5,-27,-3,4
Hyogo,2020/03/16,-8,0,-9,-16,-2,4
Hyogo,2020/03/17,-3,5,21,-15,-3,3
Hyogo,2020/03/18,-3,3,21,-14,-3,3
Hyogo,2020/03/19,5,8,21,-9,-3,2
Hyogo,2020/03/20,10,10,49,-35,-55,17
Hyogo,2020/03/21,-8,6,29,-23,-8,4
Hyogo,2020/03/22,-11,2,-2,-25,-4,4
Hyogo,2020/03/23,-3,2,19,-12,-2,3
Hyogo,2020/03/24,-2,4,17,-15,-3,3
Hyogo,2020/03/25,1,6,25,-11,-3,3
Hyogo,2020/03/26,0,11,26,-12,-4,3
Hyogo,2020/03/27,-14,-5,-35,-19,-6,7
Hyogo,2020/03/28,-15,1,-30,-31,-6,6
Hyogo,2020/03/29,-12,5,-10,-31,-4,5
Hyogo,2020/03/30,-5,5,5,-16,-4,4
Hyogo,2020/03/31,-3,7,24,-17,-5,4
Hyogo,2020/04/01,-20,-8,-34,-23,-8,6
Hyogo,2020/04/02,-9,9,19,-20,-7,5
Hyogo,2020/04/03,-12,7,31,-21,-7,6
Hyogo,2020/04/04,-15,9,42,-34,-11,7
Hyogo,2020/04/05,-18,6,14,-39,-11,6
Hyogo,2020/04/06,-10,11,27,-20,-6,5
Hyogo,2020/04/07,-11,10,23,-24,-9,6
Hyogo,2020/04/08,-22,3,19,-30,-15,8
Hyogo,2020/04/09,-24,4,19,-34,-17,10
Hyogo,2020/04/10,-28,5,5,-37,-17,11
Hyogo,2020/04/11,-31,7,7,-51,-24,12
Hyogo,2020/04/12,-49,-18,-74,-65,-28,14
Hyogo,2020/04/13,-37,-9,-46,-42,-20,13
Hyogo,2020/04/14,-25,7,22,-40,-21,11
Hyogo,2020/04/15,-25,7,21,-40,-23,12
Hyogo,2020/04/16,-28,7,20,-42,-24,13
Hyogo,2020/04/17,-31,6,9,-45,-25,15
Hyogo,2020/04/18,-43,-7,-34,-58,-28,15
Hyogo,2020/04/19,-41,-3,-11,-57,-27,11
Hyogo,2020/04/20,-33,-1,-7,-43,-23,14
Hyogo,2020/04/21,-32,1,17,-44,-25,13
Hyogo,2020/04/22,-34,-3,4,-46,-26,14
Hyogo,2020/04/23,-36,-2,-1,-46,-27,15
Hyogo,2020/04/24,-37,1,-5,-46,-26,16
Hyogo,2020/04/25,-39,-1,-1,-54,-27,13
Hyogo,2020/04/26,-44,-7,-19,-59,-28,12
Hyogo,2020/04/27,-32,-1,8,-43,-24,14
Hyogo,2020/04/28,-27,4,18,-44,-26,13
Hyogo,2020/04/29,-26,-3,30,-63,-66,22
Hyogo,2020/04/30,-26,7,14,-46,-33,16
Hyogo,2020/05/01,-32,4,12,-49,-36,19
Hyogo,2020/05/02,-41,-3,-5,-55,-30,14
Hyogo,2020/05/03,-46,-11,-38,-62,-31,13
Hyogo,2020/05/04,-24,-2,21,-65,-72,28
Hyogo,2020/05/05,-20,4,44,-63,-72,27
Hyogo,2020/05/06,-30,-6,7,-66,-70,27
Hyogo,2020/05/07,-30,1,8,-41,-23,13
Hyogo,2020/05/08,-34,2,8,-43,-24,15
Hyogo,2020/05/09,-41,-3,-24,-54,-21,13
Ibaraki,2020/02/15,2,4,15,-2,5,0
Ibaraki,2020/02/16,-8,-4,-36,-13,-1,3
Ibaraki,2020/02/17,-3,-1,-14,0,0,1
Ibaraki,2020/02/18,3,2,3,-1,1,0
Ibaraki,2020/02/19,1,2,19,-1,1,0
Ibaraki,2020/02/20,2,4,-2,-1,0,1
Ibaraki,2020/02/21,-2,3,11,-1,0,1
Ibaraki,2020/02/22,-1,3,-4,-2,1,1
Ibaraki,2020/02/23,3,7,32,13,1,0
Ibaraki,2020/02/24,33,5,76,-13,-54,14
Ibaraki,2020/02/25,1,5,-6,0,1,0
Ibaraki,2020/02/26,-1,3,-4,-4,1,1
Ibaraki,2020/02/27,1,6,-4,-4,1,1
Ibaraki,2020/02/28,3,20,4,-12,2,2
Ibaraki,2020/02/29,-2,12,-9,-25,6,3
Ibaraki,2020/03/01,-5,10,24,-21,4,3
Ibaraki,2020/03/02,-8,0,-34,-20,-2,4
Ibaraki,2020/03/03,1,7,13,-18,0,3
Ibaraki,2020/03/04,-8,-2,-19,-22,-3,5
Ibaraki,2020/03/05,-2,2,-7,-20,-2,4
Ibaraki,2020/03/06,-6,2,16,-20,-2,4
Ibaraki,2020/03/07,-5,2,-9,-26,-2,5
Ibaraki,2020/03/08,-9,-1,-27,-30,-3,6
Ibaraki,2020/03/09,-3,1,5,-15,-2,3
Ibaraki,2020/03/10,-6,-2,-33,-21,-3,5
Ibaraki,2020/03/11,2,5,33,-16,-2,3
Ibaraki,2020/03/12,4,5,16,-16,-4,3
Ibaraki,2020/03/13,-1,4,21,-17,-3,4
Ibaraki,2020/03/14,-12,-8,-54,-34,-7,7
Ibaraki,2020/03/15,1,9,29,-16,-1,3
Ibaraki,2020/03/16,-1,1,-5,-13,-2,3
Ibaraki,2020/03/17,2,5,10,-16,-2,3
Ibaraki,2020/03/18,1,4,29,-15,-2,3
Ibaraki,2020/03/19,10,7,13,-10,-4,2
Ibaraki,2020/03/20,18,10,42,-24,-54,18
Ibaraki,2020/03/21,0,7,41,-11,-6,4
Ibaraki,2020/03/22,-4,5,41,-9,-2,3
Ibaraki,2020/03/23,0,-1,8,-14,-3,3
Ibaraki,2020/03/24,3,3,10,-15,-3,3
Ibaraki,2020/03/25,5,7,45,-12,-3,2
Ibaraki,2020/03/26,6,11,35,-14,-4,3
Ibaraki,2020/03/27,-3,8,21,-20,-5,5
Ibaraki,2020/03/28,-12,1,-29,-36,-5,7
Ibaraki,2020/03/29,-31,-16,-60,-51,-10,10
Ibaraki,2020/03/30,-1,3,5,-20,-6,5
Ibaraki,2020/03/31,0,6,7,-22,-5,4
Ibaraki,2020/04/01,-14,-2,-25,-29,-7,6
Ibaraki,2020/04/02,-7,5,6,-26,-8,6
Ibaraki,2020/04/03,-11,6,30,-28,-8,7
Ibaraki,2020/04/04,-17,4,20,-39,-10,8
Ibaraki,2020/04/05,-25,-1,-24,-44,-11,9
Ibaraki,2020/04/06,-10,4,11,-24,-8,6
Ibaraki,2020/04/07,-7,4,10,-29,-12,7
Ibaraki,2020/04/08,-14,1,23,-32,-10,7
Ibaraki,2020/04/09,-17,-2,-4,-35,-11,8
Ibaraki,2020/04/10,-17,4,5,-38,-12,9
Ibaraki,2020/04/11,-20,2,8,-48,-17,10
Ibaraki,2020/04/12,-30,-4,-19,-55,-15,11
Ibaraki,2020/04/13,-39,-23,-55,-46,-15,13
Ibaraki,2020/04/14,-12,5,1,-41,-13,9
Ibaraki,2020/04/15,-13,8,26,-40,-14,9
Ibaraki,2020/04/16,-16,3,-9,-44,-15,11
Ibaraki,2020/04/17,-19,7,4,-47,-16,12
Ibaraki,2020/04/18,-51,-28,-69,-70,-26,18
Ibaraki,2020/04/19,-29,1,11,-53,-17,10
Ibaraki,2020/04/20,-30,-10,-46,-50,-18,13
Ibaraki,2020/04/21,-21,-1,1,-47,-19,12
Ibaraki,2020/04/22,-26,-4,4,-48,-20,13
Ibaraki,2020/04/23,-24,-3,6,-47,-20,13
Ibaraki,2020/04/24,-30,-3,-7,-50,-21,15
Ibaraki,2020/04/25,-33,-4,-10,-56,-21,13
Ibaraki,2020/04/26,-38,-8,-3,-59,-21,12
Ibaraki,2020/04/27,-26,-7,-23,-48,-21,13
Ibaraki,2020/04/28,-18,0,-6,-48,-22,12
Ibaraki,2020/04/29,-14,-6,35,-64,-61,21
Ibaraki,2020/04/30,-17,2,5,-52,-30,16
Ibaraki,2020/05/01,-23,1,12,-56,-34,19
Ibaraki,2020/05/02,-35,-7,-11,-61,-27,14
Ibaraki,2020/05/03,-38,-7,-5,-60,-25,11
Ibaraki,2020/05/04,-9,-8,-1,-68,-72,29
Ibaraki,2020/05/05,-7,-4,25,-66,-72,29
Ibaraki,2020/05/06,-23,-16,-29,-72,-70,31
Ibaraki,2020/05/07,-20,0,2,-47,-22,13
Ibaraki,2020/05/08,-25,-2,10,-49,-23,15
Ibaraki,2020/05/09,-30,-6,-16,-57,-15,12
Ishikawa,2020/02/15,1,3,15,1,7,-1
Ishikawa,2020/02/16,-7,0,-33,-6,0,2
Ishikawa,2020/02/17,-2,2,-5,4,-1,1
Ishikawa,2020/02/18,-2,-1,-8,-1,-2,1
Ishikawa,2020/02/19,3,5,20,1,-1,0
Ishikawa,2020/02/20,4,5,3,0,0,0
Ishikawa,2020/02/21,1,4,14,5,0,0
Ishikawa,2020/02/22,-3,5,-16,0,-3,2
Ishikawa,2020/02/23,-2,7,-7,3,0,1
Ishikawa,2020/02/24,26,10,75,5,-56,14
Ishikawa,2020/02/25,-4,6,-6,-4,-1,1
Ishikawa,2020/02/26,-2,7,7,-6,0,1
Ishikawa,2020/02/27,-3,8,-4,-9,0,2
Ishikawa,2020/02/28,-4,12,-7,-19,0,3
Ishikawa,2020/02/29,-7,14,-6,-29,6,3
Ishikawa,2020/03/01,-11,13,-3,-30,3,4
Ishikawa,2020/03/02,-5,8,-6,-24,-1,3
Ishikawa,2020/03/03,-3,8,4,-26,-2,3
Ishikawa,2020/03/04,-7,3,-4,-27,-2,4
Ishikawa,2020/03/05,-7,2,-19,-29,-3,4
Ishikawa,2020/03/06,-7,2,2,-27,-3,4
Ishikawa,2020/03/07,-8,5,8,-31,-2,4
Ishikawa,2020/03/08,-11,4,-16,-31,-3,5
Ishikawa,2020/03/09,-3,2,28,-21,-3,3
Ishikawa,2020/03/10,-7,1,-24,-27,-5,4
Ishikawa,2020/03/11,-3,3,-5,-25,-4,4
Ishikawa,2020/03/12,2,9,39,-20,-4,3
Ishikawa,2020/03/13,-2,3,11,-24,-5,4
Ishikawa,2020/03/14,-3,5,-18,-31,-7,4
Ishikawa,2020/03/15,-11,2,-16,-31,-3,4
Ishikawa,2020/03/16,-5,0,-18,-24,-4,4
Ishikawa,2020/03/17,-4,2,2,-24,-4,4
Ishikawa,2020/03/18,2,6,34,-19,-3,2
Ishikawa,2020/03/19,9,8,39,-14,-3,1
Ishikawa,2020/03/20,13,6,2,-28,-54,18
Ishikawa,2020/03/21,-2,5,34,-15,-5,2
Ishikawa,2020/03/22,-10,2,-31,-22,-1,4
Ishikawa,2020/03/23,2,5,23,-14,-3,2
Ishikawa,2020/03/24,0,5,2,-19,-3,3
Ishikawa,2020/03/25,7,8,48,-15,-3,1
Ishikawa,2020/03/26,6,11,51,-14,-3,2
Ishikawa,2020/03/27,-3,4,-15,-23,-4,4
Ishikawa,2020/03/28,-4,6,-23,-31,-4,4
Ishikawa,2020/03/29,-8,8,-23,-30,-1,4
Ishikawa,2020/03/30,4,6,23,-20,-5,3
Ishikawa,2020/03/31,3,8,52,-23,-5,3
Ishikawa,2020/04/01,-9,2,-8,-29,-6,4
Ishikawa,2020/04/02,-5,8,18,-29,-7,4
Ishikawa,2020/04/03,-8,7,61,-27,-8,5
Ishikawa,2020/04/04,-13,9,38,-36,-8,6
Ishikawa,2020/04/05,-21,9,-12,-43,-10,7
Ishikawa,2020/04/06,-7,8,18,-29,-9,5
Ishikawa,2020/04/07,-9,9,37,-34,-11,5
Ishikawa,2020/04/08,-13,7,26,-35,-10,6
Ishikawa,2020/04/09,-14,6,30,-38,-10,6
Ishikawa,2020/04/10,-19,4,-6,-43,-11,8
Ishikawa,2020/04/11,-25,7,-2,-50,-20,10
Ishikawa,2020/04/12,-34,3,-22,-54,-16,10
Ishikawa,2020/04/13,-29,-6,-44,-48,-13,10
Ishikawa,2020/04/14,-22,3,4,-46,-14,9
Ishikawa,2020/04/15,-20,6,30,-44,-15,9
Ishikawa,2020/04/16,-25,4,12,-47,-17,11
Ishikawa,2020/04/17,-29,3,4,-52,-18,12
Ishikawa,2020/04/18,-43,-9,-54,-66,-22,15
Ishikawa,2020/04/19,-43,-4,-26,-62,-24,12
Ishikawa,2020/04/20,-32,-7,-36,-53,-19,12
Ishikawa,2020/04/21,-32,-2,1,-52,-21,13
Ishikawa,2020/04/22,-36,-7,-19,-57,-23,14
Ishikawa,2020/04/23,-38,-9,-31,-57,-23,15
Ishikawa,2020/04/24,-38,-5,-35,-59,-24,16
Ishikawa,2020/04/25,-38,-2,6,-56,-27,13
Ishikawa,2020/04/26,-50,-13,-61,-71,-29,14
Ishikawa,2020/04/27,-28,-2,16,-50,-23,12
Ishikawa,2020/04/28,-27,1,14,-53,-24,12
Ishikawa,2020/04/29,-24,-5,53,-63,-65,22
Ishikawa,2020/04/30,-25,4,29,-55,-32,16
Ishikawa,2020/05/01,-32,1,9,-60,-35,19
Ishikawa,2020/05/02,-41,-5,-7,-63,-32,15
Ishikawa,2020/05/03,-43,-5,-6,-66,-31,12
Ishikawa,2020/05/04,-19,-1,40,-67,-74,29
Ishikawa,2020/05/05,-17,1,41,-68,-75,30
Ishikawa,2020/05/06,-26,-6,10,-71,-73,30
Ishikawa,2020/05/07,-28,-3,19,-53,-21,13
Ishikawa,2020/05/08,-32,-3,17,-55,-22,14
Ishikawa,2020/05/09,-38,-7,-31,-64,-20,13
Iwate,2020/02/15,1,3,12,0,5,0
Iwate,2020/02/16,-6,-2,-27,-10,-1,2
Iwate,2020/02/17,0,1,-7,1,1,1
Iwate,2020/02/18,-2,0,-10,0,1,1
Iwate,2020/02/19,4,5,6,1,1,-1
Iwate,2020/02/20,4,5,3,-1,1,0
Iwate,2020/02/21,-1,-1,-1,-1,2,1
Iwate,2020/02/22,-1,3,0,3,0,1
Iwate,2020/02/23,0,0,-21,-2,-1,1
Iwate,2020/02/24,25,4,5,1,-52,14
Iwate,2020/02/25,4,6,5,3,2,0
Iwate,2020/02/26,3,7,8,-1,2,-1
Iwate,2020/02/27,0,5,5,-7,2,1
Iwate,2020/02/28,1,8,-4,-15,2,2
Iwate,2020/02/29,-3,15,0,-22,9,2
Iwate,2020/03/01,-5,12,-11,-25,5,3
Iwate,2020/03/02,-4,4,-9,-20,0,3
Iwate,2020/03/03,-2,7,-4,-20,1,3
Iwate,2020/03/04,-2,3,1,-20,0,2
Iwate,2020/03/05,-6,1,-7,-21,-1,4
Iwate,2020/03/06,-6,-2,0,-23,-1,4
Iwate,2020/03/07,-6,4,21,-20,0,3
Iwate,2020/03/08,-6,2,16,-21,-2,4
Iwate,2020/03/09,-3,0,13,-16,-2,3
Iwate,2020/03/10,-6,-3,-16,-20,-2,5
Iwate,2020/03/11,3,6,11,-16,-3,3
Iwate,2020/03/12,2,6,12,-17,-1,3
Iwate,2020/03/13,-2,-1,0,-21,-3,4
Iwate,2020/03/14,-1,4,10,-20,-4,4
Iwate,2020/03/15,-4,5,15,-19,-1,3
Iwate,2020/03/16,-1,1,-8,-17,-2,3
Iwate,2020/03/17,1,2,7,-14,-1,3
Iwate,2020/03/18,4,6,14,-13,0,1
Iwate,2020/03/19,12,8,32,-7,-3,1
Iwate,2020/03/20,9,2,-4,-19,-49,17
Iwate,2020/03/21,-3,3,10,-10,-7,3
Iwate,2020/03/22,-5,1,-14,-7,-1,3
Iwate,2020/03/23,5,1,10,-7,-1,2
Iwate,2020/03/24,4,2,10,-12,-1,2
Iwate,2020/03/25,13,10,24,-10,-2,1
Iwate,2020/03/26,6,8,20,-14,-3,2
Iwate,2020/03/27,1,2,10,-17,-2,3
Iwate,2020/03/28,-3,7,13,-17,-2,3
Iwate,2020/03/29,-5,5,6,-19,1,3
Iwate,2020/03/30,6,3,17,-13,-5,3
Iwate,2020/03/31,4,5,27,-13,-3,3
Iwate,2020/04/01,-4,6,-1,-22,-4,2
Iwate,2020/04/02,-5,2,-4,-26,-7,5
Iwate,2020/04/03,-6,1,14,-24,-6,5
Iwate,2020/04/04,-9,6,23,-26,-6,5
Iwate,2020/04/05,-12,5,-18,-33,-7,6
Iwate,2020/04/06,-7,0,-15,-22,-7,5
Iwate,2020/04/07,-2,5,15,-22,-7,4
Iwate,2020/04/08,-2,6,22,-21,-8,3
Iwate,2020/04/09,-8,3,15,-23,-6,4
Iwate,2020/04/10,-10,3,-1,-26,-5,5
Iwate,2020/04/11,-11,7,36,-33,-13,7
Iwate,2020/04/12,-15,4,33,-36,-8,6
Iwate,2020/04/13,-12,0,-9,-24,-5,5
Iwate,2020/04/14,-9,2,21,-21,-4,4
Iwate,2020/04/15,-2,12,24,-22,-5,3
Iwate,2020/04/16,-7,8,37,-23,-5,4
Iwate,2020/04/17,-12,4,25,-28,-5,5
Iwate,2020/04/18,-25,1,-26,-44,-11,9
Iwate,2020/04/19,-24,0,12,-46,-11,8
Iwate,2020/04/20,-18,-1,-23,-28,-6,6
Iwate,2020/04/21,-15,2,7,-26,-6,5
Iwate,2020/04/22,-15,4,-2,-30,-7,5
Iwate,2020/04/23,-19,1,-7,-33,-7,7
Iwate,2020/04/24,-19,2,-1,-35,-7,7
Iwate,2020/04/25,-25,4,8,-44,-16,10
Iwate,2020/04/26,-28,-1,4,-48,-17,10
Iwate,2020/04/27,-16,2,5,-31,-10,7
Iwate,2020/04/28,-12,5,13,-30,-10,5
Iwate,2020/04/29,-9,1,38,-53,-57,17
Iwate,2020/04/30,-12,5,21,-43,-19,10
Iwate,2020/05/01,-19,2,-4,-48,-23,14
Iwate,2020/05/02,-29,-3,19,-48,-22,11
Iwate,2020/05/03,-28,-3,27,-46,-23,8
Iwate,2020/05/04,0,2,44,-48,-70,25
Iwate,2020/05/05,3,7,55,-46,-70,25
Iwate,2020/05/06,-8,0,11,-55,-68,25
Iwate,2020/05/07,-15,1,6,-34,-11,7
Iwate,2020/05/08,-18,-2,17,-35,-11,8
Iwate,2020/05/09,-23,-2,18,-40,-7,7
Kagawa,2020/02/15,-3,3,6,1,4,0
Kagawa,2020/02/16,-7,-4,-29,-17,-2,2
Kagawa,2020/02/17,-3,-2,6,-2,1,1
Kagawa,2020/02/18,-1,2,6,-2,0,1
Kagawa,2020/02/19,0,0,16,-1,0,0
Kagawa,2020/02/20,3,4,14,1,1,0
Kagawa,2020/02/21,-2,-2,16,2,1,0
Kagawa,2020/02/22,-3,-1,-4,5,-2,1
Kagawa,2020/02/23,6,3,47,15,0,-1
Kagawa,2020/02/24,30,4,104,11,-56,13
Kagawa,2020/02/25,1,7,16,2,1,0
Kagawa,2020/02/26,0,2,11,-2,1,1
Kagawa,2020/02/27,0,4,13,-3,1,1
Kagawa,2020/02/28,-1,9,9,-11,2,1
Kagawa,2020/02/29,-11,6,-40,-26,4,4
Kagawa,2020/03/01,-9,8,3,-30,4,3
Kagawa,2020/03/02,-3,5,11,-15,2,2
Kagawa,2020/03/03,0,8,22,-14,-1,2
Kagawa,2020/03/04,-9,-2,-20,-21,-3,5
Kagawa,2020/03/05,-3,4,4,-16,-2,3
Kagawa,2020/03/06,-6,0,13,-18,-1,4
Kagawa,2020/03/07,-10,1,-10,-25,-2,4
Kagawa,2020/03/08,-11,1,-28,-37,-3,5
Kagawa,2020/03/09,-4,-1,24,-16,0,3
Kagawa,2020/03/10,-1,3,4,-18,-3,4
Kagawa,2020/03/11,0,2,10,-19,-3,3
Kagawa,2020/03/12,1,3,24,-12,-2,3
Kagawa,2020/03/13,-1,1,14,-17,-3,3
Kagawa,2020/03/14,-5,1,-18,-25,-6,5
Kagawa,2020/03/15,-7,4,4,-26,-2,4
Kagawa,2020/03/16,-2,0,8,-16,-1,3
Kagawa,2020/03/17,1,3,25,-13,-4,3
Kagawa,2020/03/18,-1,3,24,-12,-2,3
Kagawa,2020/03/19,6,5,26,-5,-3,2
Kagawa,2020/03/20,19,10,56,-12,-53,16
Kagawa,2020/03/21,-4,2,42,-3,-8,3
Kagawa,2020/03/22,-7,0,19,-15,-3,3
Kagawa,2020/03/23,1,0,29,-9,-1,2
Kagawa,2020/03/24,2,2,34,-7,-2,3
Kagawa,2020/03/25,4,6,35,-8,-3,2
Kagawa,2020/03/26,4,5,25,-8,-3,3
Kagawa,2020/03/27,-3,0,-22,-18,-4,5
Kagawa,2020/03/28,-10,-1,-35,-26,-5,5
Kagawa,2020/03/29,-7,4,19,-22,-1,3
Kagawa,2020/03/30,0,4,0,-15,-3,4
Kagawa,2020/03/31,-1,3,19,-13,-4,4
Kagawa,2020/04/01,-13,-6,-33,-26,-6,6
Kagawa,2020/04/02,-4,5,22,-17,-6,4
Kagawa,2020/04/03,-8,2,22,-22,-6,4
Kagawa,2020/04/04,-12,6,41,-26,-5,4
Kagawa,2020/04/05,-14,6,46,-33,-6,5
Kagawa,2020/04/06,-6,2,30,-19,-4,3
Kagawa,2020/04/07,-4,6,25,-20,-8,4
Kagawa,2020/04/08,-10,3,13,-23,-7,4
Kagawa,2020/04/09,-12,2,6,-24,-6,5
Kagawa,2020/04/10,-13,3,2,-29,-5,5
Kagawa,2020/04/11,-19,6,9,-39,-15,7
Kagawa,2020/04/12,-34,-6,-65,-63,-14,11
Kagawa,2020/04/13,-28,-10,-43,-40,-8,9
